order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,2869,2025-11-02,274,5,43.48,217.4,Pending,
2,7786,2025-09-09,279,2,14.72,29.44,Cancelled,
3,5177,2025-06-09,95,1,163.6,163.6,Pending,
4,5010,2025-06-30,355,4,170.09,680.36,Cancelled,
5,5365,2024-03-11,475,2,246.49,492.98,Cancelled,
6,8387,2023-04-13,52,5,433.1,2165.5,Completed,2023-04-16
7,4575,2024-01-21,150,4,253.32,1013.28,Cancelled,
8,6208,2025-09-08,227,2,300.32,600.64,Completed,2025-09-08
9,3440,2024-09-27,115,4,76.91,307.64,Cancelled,
10,6162,2024-06-10,455,4,138.38,553.52,Completed,2024-06-10
11,791,2023-03-17,58,5,301.83,1509.15,Completed,2023-03-17
12,3834,2025-12-24,464,3,90.23,270.69,Cancelled,
13,9740,2023-06-24,277,4,335.15,1340.6,Completed,2023-06-25
14,4538,2024-08-26,200,5,390.47,1952.35,Completed,2024-08-29
15,2797,2025-01-29,225,5,456.31,2281.55,Completed,2025-02-01
16,9356,2024-11-03,326,3,379.57,1138.71,Pending,
17,1822,2025-11-27,380,5,35.16,175.8,Pending,
18,9566,2023-05-27,226,4,368.25,1473.0,Cancelled,
19,2256,2023-06-01,420,3,269.12,807.36,Pending,
20,1343,2025-07-14,461,4,17.05,68.2,Completed,2025-07-16
21,5386,2024-06-21,474,1,397.05,397.05,Pending,
22,2620,2025-05-21,255,5,497.51,2487.55,Cancelled,
23,2986,2023-08-03,43,2,322.72,645.44,Pending,
24,5599,2025-12-17,258,4,425.97,1703.88,Pending,
25,4027,2023-06-17,296,5,493.18,2465.9,Completed,2023-06-17
26,5515,2024-07-17,484,5,15.56,77.8,Pending,
27,1727,2023-12-08,427,4,239.33,957.32,Pending,
28,2422,2025-01-28,162,5,432.11,2160.55,Completed,2025-01-29
29,5130,2025-02-04,46,5,273.85,1369.25,Pending,
30,195,2025-08-09,493,3,105.63,316.89,Cancelled,
31,1992,2025-03-19,11,1,292.08,292.08,Cancelled,
32,4074,2023-06-13,6,5,71.57,357.85,Cancelled,
33,2203,2025-08-29,158,3,181.29,543.87,Pending,
34,9404,2025-05-23,22,1,348.14,348.14,Completed,2025-05-23
35,2016,2025-10-25,368,1,148.87,148.87,Pending,
36,3477,2023-10-05,154,4,111.23,444.92,Pending,
37,8699,2024-12-03,478,4,110.76,443.04,Completed,2024-12-06
38,5713,2023-06-11,112,5,363.11,1815.55,Completed,2023-06-12
39,989,2024-12-24,124,1,317.05,317.05,Cancelled,
40,7049,2024-10-20,500,1,189.69,189.69,Completed,2024-10-21
41,5478,2023-06-26,334,4,412.0,1648.0,Pending,
42,3047,2025-09-25,291,3,179.89,539.67,Pending,
43,4755,2023-07-27,195,2,202.51,405.02,Cancelled,
44,2196,2023-03-29,338,5,456.4,2282.0,Completed,2023-04-01
45,2596,2023-02-27,438,5,301.31,1506.55,Cancelled,
46,77,2025-02-13,210,3,457.92,1373.76,Completed,2025-02-13
47,4177,2025-02-12,414,3,43.66,130.98,Cancelled,
48,573,2025-04-24,40,1,315.49,315.49,Cancelled,
49,5298,2025-08-03,491,2,174.03,348.06,Cancelled,
50,4352,2024-09-05,210,1,487.9,487.9,Pending,
51,9179,2023-03-18,97,5,10.6,53.0,Completed,2023-03-18
52,7973,2024-06-24,74,4,112.18,448.72,Pending,
53,1679,2025-11-08,447,3,320.54,961.62,Cancelled,
54,1902,2024-07-08,233,5,379.94,1899.7,Pending,
55,3464,2024-10-11,407,1,291.92,291.92,Cancelled,
56,8115,2023-04-02,215,4,137.46,549.84,Cancelled,
57,2846,2023-01-08,292,2,257.77,515.54,Completed,2023-01-11
58,5242,2024-07-06,447,3,64.82,194.46,Cancelled,
59,5385,2024-04-30,426,5,376.82,1884.1,Completed,2024-05-03
60,4357,2023-09-10,233,2,20.42,40.84,Completed,2023-09-10
61,6288,2023-08-05,388,3,390.07,1170.21,Pending,
62,3413,2024-02-20,157,5,256.9,1284.5,Cancelled,
63,8085,2023-05-14,260,2,278.7,557.4,Completed,2023-05-16
64,3835,2025-11-14,114,2,208.3,416.6,Completed,2025-11-16
65,139,2023-07-13,120,5,16.1,80.5,Pending,
66,8400,2024-12-15,99,4,484.97,1939.88,Pending,
67,2184,2023-09-19,203,3,139.61,418.83,Pending,
68,4293,2023-03-22,474,1,331.05,331.05,Pending,
69,1393,2024-04-21,458,5,27.08,135.4,Cancelled,
70,7567,2024-12-30,231,2,13.59,27.18,Completed,2024-12-30
71,9693,2025-10-10,354,3,58.86,176.58,Pending,
72,6083,2023-11-23,139,2,421.69,843.38,Cancelled,
73,7909,2023-06-04,31,5,161.69,808.45,Cancelled,
74,4540,2023-10-23,74,5,476.54,2382.7,Pending,
75,6387,2025-08-30,78,3,434.12,1302.36,Cancelled,
76,3004,2025-04-13,105,2,192.87,385.74,Completed,2025-04-14
77,230,2024-01-15,149,3,417.87,1253.61,Cancelled,
78,6869,2024-03-14,89,1,62.86,62.86,Cancelled,
79,3153,2023-04-16,19,3,197.46,592.38,Completed,2023-04-19
80,7781,2024-03-16,26,1,83.16,83.16,Completed,2024-03-17
81,2482,2023-04-25,479,1,25.58,25.58,Completed,2023-04-26
82,6785,2025-03-11,458,2,44.34,88.68,Completed,2025-03-11
83,7617,2023-01-21,174,4,306.41,1225.64,Pending,
84,8109,2023-05-03,50,2,76.92,153.84,Cancelled,
85,7560,2023-01-26,14,2,311.51,623.02,Pending,
86,568,2024-01-24,386,4,94.12,376.48,Pending,
87,8857,2023-08-12,105,4,287.52,1150.08,Cancelled,
88,1239,2025-11-09,242,4,252.85,1011.4,Pending,
89,4160,2023-09-03,13,3,436.37,1309.11,Cancelled,
90,6677,2024-07-26,381,1,499.41,499.41,Pending,
91,1121,2023-12-09,281,4,418.77,1675.08,Completed,2023-12-10
92,2371,2025-04-13,28,2,382.19,764.38,Completed,2025-04-14
93,2363,2024-01-12,185,1,327.49,327.49,Pending,
94,2967,2023-10-23,176,2,456.57,913.14,Completed,2023-10-24
95,4450,2023-02-04,299,3,373.53,1120.59,Completed,2023-02-07
96,371,2024-01-05,193,2,340.46,680.92,Completed,2024-01-07
97,3681,2024-10-08,49,2,240.46,480.92,Pending,
98,4917,2025-08-11,309,5,21.81,109.05,Cancelled,
99,5652,2023-10-02,139,3,296.33,888.99,Completed,2023-10-02
100,1742,2023-09-27,55,5,337.03,1685.15,Completed,2023-09-27
101,7043,2023-12-16,413,5,441.61,2208.05,Cancelled,
102,9940,2024-08-07,376,5,443.6,2218.0,Completed,2024-08-10
103,6903,2025-11-18,346,2,114.81,229.62,Completed,2025-11-18
104,4412,2025-10-21,270,3,233.53,700.59,Pending,
105,3781,2025-11-12,384,4,412.22,1648.88,Cancelled,
106,1795,2023-07-01,290,5,25.94,129.7,Completed,2023-07-02
107,4928,2023-06-25,224,1,34.67,34.67,Cancelled,
108,3304,2025-12-19,478,4,307.89,1231.56,Cancelled,
109,3234,2023-09-19,427,3,490.03,1470.09,Completed,2023-09-22
110,641,2024-07-07,230,5,87.28,436.4,Pending,
111,5220,2025-12-16,211,3,221.53,664.59,Pending,
112,1081,2023-01-20,87,2,107.66,215.32,Cancelled,
113,2432,2025-10-03,352,1,186.05,186.05,Completed,
114,3569,2024-03-02,390,1,39.87,39.87,Pending,
115,4075,2025-11-28,193,3,374.45,1123.35,Completed,2025-11-28
116,8457,2023-01-10,2,5,290.15,1450.75,Cancelled,
117,4131,2023-07-04,63,1,209.03,209.03,Pending,
118,1513,2023-02-17,297,4,288.18,1152.72,Cancelled,
119,3852,2023-11-08,421,2,345.9,691.8,Pending,
120,9536,2025-07-24,380,5,473.08,2365.4,Cancelled,
121,733,2025-07-30,379,4,14.36,57.44,Cancelled,
122,8902,2024-11-20,154,1,471.97,471.97,Cancelled,
123,4228,2025-05-20,246,4,130.02,520.08,Pending,
124,9777,2023-02-17,472,5,262.37,1311.85,Cancelled,
125,7120,2024-03-24,128,1,446.26,446.26,Cancelled,
126,7302,2024-05-15,488,1,465.49,465.49,Cancelled,
127,1515,2023-06-24,163,5,282.1,1410.5,Completed,2023-06-26
128,9394,2025-10-23,73,3,83.54,250.62,Pending,
129,4257,2024-01-23,326,1,43.52,43.52,Pending,
130,3919,2024-10-25,391,3,212.31,636.93,Pending,
131,6146,2025-07-03,165,5,307.53,1537.65,Completed,2025-07-05
132,7236,2025-04-08,222,2,360.9,721.8,Pending,
133,2261,2023-04-30,282,3,441.8,1325.4,Cancelled,
134,2282,2023-02-02,415,5,456.02,2280.1,Cancelled,
135,2258,2025-11-04,78,2,261.54,523.08,Cancelled,
136,19,2024-08-14,496,2,480.88,961.76,Completed,2024-08-16
137,1148,2025-10-22,455,4,138.42,553.68,Completed,2025-10-25
138,5874,2024-04-10,405,2,211.68,423.36,Pending,
139,7446,2024-03-31,177,1,14.13,14.13,Pending,
140,1552,2023-11-23,318,5,475.7,2378.5,Cancelled,
141,8995,2024-11-10,55,1,346.44,346.44,Pending,
142,5364,2023-12-28,403,3,286.59,859.77,Completed,2023-12-31
143,520,2023-08-23,453,1,237.68,237.68,Pending,
144,4334,2024-03-24,29,4,210.12,840.48,Pending,
145,9201,2023-06-24,66,2,265.96,531.92,Completed,2023-06-24
