product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Up-sized neutral task-force,Electronics,88.06,56.6,270,24
2,Networked regional matrices,Books,274.57,171.12,459,50
3,Self-enabling eco-centric firmware,Sports,287.22,169.17,400,49
4,Vision-oriented discrete algorithm,Books,45.6,18.8,219,21
5,Distributed local migration,Books,187.88,138.57,232,34
6,Seamless bandwidth-monitored archive,Apparel,21.45,13.68,11,15
7,Persevering uniform function,Home,75.02,56.45,232,50
8,Managed intermediate benchmark,Apparel,265.77,165.74,194,10
9,Self-enabling multi-state groupware,Electronics,158.34,68.32,389,46
10,Cloned composite adapter,Electronics,190.59,86.85,401,39
11,Multi-layered empowering alliance,Electronics,186.99,112.98,235,41
12,Future-proofed multimedia customer loyalty,Apparel,233.89,159.61,249,28
13,Vision-oriented fault-tolerant hardware,Electronics,198.7,94.17,49,44
14,Sharable uniform Local Area Network,Books,339.76,249.35,74,27
15,Optimized web-enabled monitoring,Sports,55.03,37.7,481,18
16,De-engineered global function,Apparel,223.51,105.23,308,40
17,Cloned directional throughput,Sports,173.79,110.37,27,26
18,Triple-buffered composite archive,Apparel,363.29,198.57,53,45
19,Horizontal systemic interface,Sports,-1.0,93.06,426,12
20,Automated mission-critical leverage,Apparel,166.29,118.37,1,46
21,Realigned asynchronous open architecture,Home,79.35,58.55,254,10
22,Upgradable executive database,Electronics,358.05,145.81,32,50
23,Robust system-worthy definition,Home,205.66,158.39,209,27
24,Seamless holistic project,Apparel,475.81,277.75,423,18
25,Organic upward-trending neural-net,Apparel,146.44,109.22,257,20
26,Fundamental leadingedge installation,Home,460.58,296.8,2,13
27,Monitored 24hour Graphical User Interface,Books,53.59,32.59,93,20
28,Innovative modular implementation,Apparel,347.54,238.7,46,18
29,Proactive empowering website,Books,496.91,213.17,473,33
30,Future-proofed solution-oriented Graphical User Interface,Home,13.06,5.57,482,45
31,Extended attitude-oriented encryption,Electronics,324.33,227.43,46,17
32,Profit-focused zero tolerance instruction set,Books,291.44,230.21,91,39
33,Polarized multi-state capacity,Electronics,444.1,197.04,161,21
34,Exclusive interactive conglomeration,Electronics,219.43,153.38,380,33
35,Synergized modular synergy,Sports,121.43,88.25,27,46
36,Stand-alone next generation flexibility,Sports,76.72,32.03,36,37
37,Upgradable client-server productivity,Electronics,300.89,202.26,489,40
38,Exclusive methodical protocol,Electronics,135.65,92.28,449,42
39,Implemented 6thgeneration functionalities,Home,291.26,152.88,357,28
40,Self-enabling background leverage,Books,121.23,79.81,267,39
41,Triple-buffered asynchronous toolset,Apparel,212.47,132.18,442,36
42,Organic high-level matrices,Home,178.86,114.13,489,40
43,Streamlined discrete complexity,Electronics,385.34,217.86,491,49
44,Digitized neutral core,Apparel,398.59,241.49,500,40
45,Optional bifurcated customer loyalty,Books,109.07,57.19,42,23
46,Programmable bifurcated function,Electronics,451.83,311.83,18,26
47,Enterprise-wide 3rdgeneration service-desk,Books,172.82,79.75,339,49
48,Vision-oriented actuating capacity,Electronics,207.61,139.9,239,28
49,Quality-focused mission-critical protocol,Home,114.53,86.2,224,26
50,Fully-configurable systemic forecast,Apparel,266.77,200.75,172,19
51,Up-sized 24hour customer loyalty,Home,216.13,91.68,279,37
52,Open-source contextually-based matrices,Apparel,29.07,16.62,301,45
53,Self-enabling full-range info-mediaries,Home,117.32,80.61,456,29
54,Distributed optimal hardware,Books,466.16,280.33,155,21
55,Distributed clear-thinking superstructure,Home,165.78,81.42,207,18
56,User-friendly explicit capacity,Electronics,274.69,146.23,228,38
57,Right-sized directional circuit,Sports,464.24,316.55,184,38
58,Optimized logistical firmware,Home,313.74,169.73,491,35
59,Triple-buffered full-range website,Electronics,88.13,55.15,304,12
60,Distributed system-worthy application,Home,275.01,146.67,54,12
61,Programmable client-driven interface,Electronics,251.76,171.18,341,48
62,Synergistic 4thgeneration matrices,Electronics,59.84,29.53,51,39
63,Monitored radical migration,Electronics,391.67,304.16,307,11
64,User-friendly bi-directional knowledge user,Sports,79.74,57.59,349,34
65,Virtual solution-oriented data-warehouse,Apparel,36.45,24.83,324,11
66,Compatible zero administration attitude,Apparel,209.0,135.51,161,27
67,Optional 4thgeneration artificial intelligence,Apparel,352.33,152.65,0,15
68,Universal clear-thinking forecast,Home,336.76,159.25,401,46
69,Up-sized 24/7 task-force,Electronics,185.1,145.26,80,36
70,Ergonomic interactive application,Electronics,382.18,259.83,40,30
71,Exclusive intangible access,Apparel,64.39,31.28,464,32
72,Quality-focused client-server leverage,Books,483.64,320.11,132,38
73,Programmable bifurcated hardware,Electronics,320.52,207.39,224,28
74,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Electronics,31.47,23.1,391,38
75,Multi-channeled tangible moderator,Sports,355.05,261.96,304,45
76,Grass-roots optimal open architecture,Books,34.26,18.55,345,33
77,Phased heuristic structure,Electronics,325.52,249.15,24,10
78,Multi-channeled responsive complexity,Books,491.46,253.17,110,29
79,Programmable asymmetric website,Books,388.7,157.38,101000,10
80,Balanced stable structure,Electronics,145.94,65.73,449,23
81,Reduced demand-driven benchmark,Home,219.92,132.52,32,14
82,Seamless real-time projection,Electronics,275.95,179.57,489,24
83,Face-to-face multimedia orchestration,Books,495.34,264.87,-5,21
84,Open-architected directional hierarchy,Apparel,480.32,261.14,465,33
85,Multi-layered contextually-based emulation,Electronics,346.15,185.6,185,34
86,Cross-group discrete encoding,Sports,44.62,18.91,291,46
87,Managed multi-state success,Books,16.39,6.68,219,45
88,Operative context-sensitive initiative,Sports,38.81,24.01,244,26
89,Profit-focused grid-enabled adapter,Apparel,31.6,21.43,245,42
90,Focused national Graphic Interface,Apparel,140.86,94.67,339,22
91,Self-enabling zero administration access,Books,289.44,149.23,357,33
92,Grass-roots encompassing workforce,Sports,432.33,176.48,251,39
93,Realigned homogeneous projection,Apparel,194.72,143.94,171,30
94,Business-focused bi-directional application,Home,13.94,6.47,424,10
95,Configurable impactful protocol,Sports,45.71,22.17,160,26
96,Expanded client-server process improvement,Home,73.7,41.01,54,39
97,Centralized 24hour application,Electronics,273.25,129.39,321,21
98,Integrated systemic throughput,Apparel,334.13,210.19,112,24
99,Down-sized bi-directional pricing structure,Electronics,160.78,119.36,7,12
100,Reverse-engineered solution-oriented monitoring,Sports,289.95,190.57,429,12
101,Self-enabling non-volatile data-warehouse,Books,184.52,74.22,284,36
102,Right-sized human-resource solution,Apparel,260.11,129.32,453,17
103,User-friendly 6thgeneration matrix,Apparel,53.31,29.7,406,18
104,Ergonomic content-based budgetary management,Home,-1.0,125.6,490,39
105,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Books,173.7,130.38,284,44
106,Total user-facing infrastructure,Apparel,231.06,171.65,44,20
107,Compatible empowering collaboration,Sports,300.78,191.73,159,20
108,Balanced human-resource capacity,Apparel,203.67,100.28,214,21
109,Customizable empowering throughput,Apparel,400.7,302.09,234,33
110,Automated coherent flexibility,Home,183.32,87.01,236,39
111,Re-engineered optimizing protocol,Apparel,446.06,302.41,0,38
112,Programmable needs-based open system,Apparel,66.12,47.64,115,45
113,Fully-configurable solution-oriented frame,Apparel,13.0,6.18,-5,48
114,Synergized clear-thinking benchmark,Home,365.52,171.2,464,43
115,Proactive bifurcated protocol,Sports,394.98,240.5,370,10
116,Decentralized fresh-thinking capacity,Sports,346.33,216.88,54,17
117,Distributed dedicated capability,Home,256.54,124.31,170,45
118,Enterprise-wide national projection,Home,279.79,193.65,291,39
119,Virtual explicit array,Electronics,348.23,204.82,195,45
120,Multi-lateral scalable contingency,Home,263.21,179.91,469,25
121,Persevering mission-critical implementation,Books,244.59,172.74,439,23
122,Multi-channeled uniform service-desk,Books,42.91,33.97,482,19
123,Multi-channeled non-volatile contingency,Apparel,259.17,163.99,411,42
124,Multi-lateral dynamic system engine,Home,145.29,113.99,443,13
125,Distributed encompassing concept,Apparel,332.1,265.07,101000,40
126,Intuitive encompassing solution,Books,89.63,37.79,109,49
127,Organic heuristic orchestration,Apparel,-1.0,69.6,69,19
128,Inverse methodical info-mediaries,Home,38.99,16.98,249,27
129,Enhanced exuding paradigm,Books,330.87,229.11,382,17
130,Enhanced radical throughput,Home,42.36,33.45,295,48
131,Quality-focused regional instruction set,Apparel,358.16,243.71,376,50
132,Switchable bi-directional model,Apparel,370.05,166.9,25,27
133,Persevering fresh-thinking concept,Apparel,469.18,318.27,436,18
134,Programmable next generation service-desk,Home,73.99,-2.0,435,18
135,Enterprise-wide multi-state capability,Home,350.77,154.79,367,22
136,Organic 6thgeneration complexity,Apparel,30.3,21.54,101000,15
137,Optimized clear-thinking flexibility,Sports,214.79,162.07,129,35
138,Intuitive needs-based help-desk,Electronics,106.55,71.69,176,48
139,De-engineered coherent frame,Sports,123.1,90.02,235,32
140,Synchronized directional artificial intelligence,Books,204.96,129.91,275,24
141,Optional local capacity,Electronics,74.69,32.0,333,20
142,Business-focused neutral emulation,Electronics,495.43,215.94,240,29
143,Up-sized neutral model,Apparel,195.28,125.61,298,43
144,Programmable exuding solution,Electronics,116.9,90.91,134,25
145,Switchable interactive array,Home,422.65,294.48,34,49
146,Synchronized 3rdgeneration model,Books,199.68,92.83,101000,22
147,Open-source composite contingency,Electronics,470.05,266.95,256,13
148,Open-source solution-oriented Graphic Interface,Home,-1.0,118.21,496,36
149,Robust attitude-oriented policy,Sports,422.3,322.2,488,12
150,Horizontal 24/7 toolset,Apparel,197.75,134.5,43,46
151,User-friendly intangible Internet solution,Home,260.95,145.48,-5,29
152,Secured eco-centric challenge,Home,294.79,209.75,153,12
153,Inverse 5thgeneration hub,Apparel,226.08,129.45,350,29
154,Managed homogeneous protocol,Apparel,306.28,145.61,290,36
155,Distributed optimal knowledge user,Books,178.46,92.96,192,20
156,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Apparel,232.27,104.94,197,18
157,Focused dedicated neural-net,Electronics,222.58,163.29,151,19
158,Function-based bifurcated paradigm,Apparel,135.31,-2.0,470,31
159,Team-oriented intermediate concept,Home,471.01,292.93,136,19
160,Customizable real-time migration,Books,-1.0,36.16,325,12
161,Monitored user-facing software,Books,271.56,162.17,486,49
162,User-centric zero tolerance product,Sports,58.06,37.69,75,50
163,Decentralized global hub,Electronics,127.65,66.95,336,48
164,Self-enabling upward-trending standardization,Apparel,289.74,159.97,102,45
165,Ergonomic next generation migration,Apparel,176.03,87.27,368,28
166,Horizontal well-modulated Internet solution,Apparel,474.15,374.41,455,33
167,Re-engineered solution-oriented knowledge user,Apparel,336.69,183.79,115,25
168,Monitored static encoding,Electronics,137.76,66.25,414,25
169,Programmable explicit Local Area Network,Home,48.0,32.76,434,43
170,Extended human-resource Graphical User Interface,Home,254.76,104.76,189,39
171,Re-contextualized composite methodology,Books,391.4,217.68,345,27
172,User-centric intermediate Internet solution,Sports,254.7,182.98,300,27
173,Cloned bottom-line solution,Home,363.66,282.6,484,22
174,Exclusive bi-directional success,Home,186.64,92.57,288,40
175,Polarized human-resource task-force,Sports,495.65,251.96,476,48
176,Decentralized full-range support,Electronics,390.69,216.02,220,23
177,Self-enabling system-worthy middleware,Apparel,453.91,204.53,175,28
178,User-friendly intangible hierarchy,Electronics,191.27,117.48,293,31
179,User-centric tangible ability,Home,463.39,359.01,260,15
180,Future-proofed tertiary middleware,Sports,409.24,194.04,305,19
181,Phased analyzing open architecture,Books,168.32,130.61,195,35
182,Organized cohesive model,Electronics,158.02,91.44,436,25
183,Sharable executive analyzer,Home,16.64,12.45,69,25
184,Decentralized 24/7 Internet solution,Electronics,190.29,130.72,136,21
185,Persistent upward-trending strategy,Home,198.55,153.53,26,26
186,Object-based even-keeled product,Apparel,328.83,208.28,405,20
187,Synchronized grid-enabled protocol,Home,471.07,342.29,397,30
188,Grass-roots 5thgeneration help-desk,Electronics,444.2,215.61,231,46
